id,lat,lon,name,owner,pgm,type,met,currents,waterquality,dart
"00922","30","-90","OTN201 - 4800922","Dalhousie University","IOOS Partners","other","n","n","n","n"
"00923","30","-90","OTN200 - 4800923","Dalhousie University","IOOS Partners","other","n","n","n","n"
"01500","30","-90","SP031 - 3801500","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01502","30","-90","Penobscot - 4801502","University of Maine","IOOS Partners","other","n","n","n","n"
"01503","30","-90","Saul - 4801503","Woods Hole Oceanographic Institution","IOOS Partners","other","n","n","n","n"
"01504","30","-90","Blue - 4801504","University of Massachusetts","IOOS Partners","other","n","n","n","n"
"01505","30","-90","RU28 - 4801505","Rutgers","IOOS Partners","other","n","n","n","n"
"01506","30","-90","RU22 - 4801506","Rutgers","IOOS Partners","other","n","n","n","n"
"01507","30","-90","RU23 - 4801507","Rutgers","IOOS Partners","other","n","n","n","n"
"01508","30","-90","OTIS - 4801508","University of Delaware","IOOS Partners","other","n","n","n","n"
"01510","30","-90","Salacia - 4801510","North Carolina State University","IOOS Partners","other","n","n","n","n"
"01511","30","-90","Modena - 4801511","Skidaway","IOOS Partners","other","n","n","n","n"
"01517","30","-90","WHOI_406 - 4801517","Woods Hole Oceanographic Institution","IOOS Partners","other","n","n","n","n"
"01518","30","-90","RU30 - 4801518","Rutgers","IOOS Partners","other","n","n","n","n"
"01519","30","-90","Unit - 4801519","University of Maine","IOOS Partners","other","n","n","n","n"
"01521","30","-90","SP011 - 4801521","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01522","30","-90","SP018 - 4801522","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01523","30","-90","SP025 - 4801523","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01524","30","-90","SP028 - 4801524","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01526","30","-90","SP048 - 4801526","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01531","30","-90","SP407 - 4801531","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01532","30","-90","SP020 - 4801532","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01534","30","-90","SP030 - 4801534","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01535","30","-90","SP052 - 4801535","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01536","30","-90","SP063 - 4801536","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01537","30","-90","ru07 - 4801537","Rutgers","IOOS Partners","other","n","n","n","n"
"01538","30","-90","SP043 - 4801538","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01909","30","-90","SCRIPPS Glider - 4801909","SCRIPPS","IOOS Partners","other","n","n","n","n"
"01910","30","-90","SCRIPPS Glider - 4801910","SCRIPPS","IOOS Partners","other","n","n","n","n"
"0y2w3","44.794","-87.313" elev="179","Sturgeon Bay CG Station, WI","U.S.C.G. Marine Reporting Stations","IOOS Partners","fixed","n","n","n","n"
"13001","12","-23" elev="0","NE Extension","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n"
